,MDS1,MDS2
plot_740,-0.0891010081384597,-0.0894060515186333
plot_741,-0.0193583248213662,-0.0715295359593438
plot_742,0.0105469652993987,0.0586975021851759
plot_743,0.00302413272788169,0.183195384424939
plot_744,-0.0220305113230973,-0.00735451273125792
plot_745,-0.0419739081967008,0.0137626487241209
plot_746,-0.100363235786821,-0.0413998318640829
plot_747,-0.0880212535438465,0.076560509583055
plot_748,0.0754552872109838,0.139121374911693
plot_749,0.0708493193046376,0.0536235350420571
plot_750,0.262520845804178,-0.0460984449553933
plot_751,0.246812805155929,-0.123951641685267
plot_752,-0.0154386626346539,-0.132393830210671
plot_753,-0.0192934049463912,-0.10205171330694
plot_754,0.0973426778749666,-0.0115085209717259
plot_755,0.116244662164692,0.103693147809651
plot_756,-0.133570760865157,-0.0276041295364363
plot_757,-0.0613813449951596,-0.0344233352411311
plot_758,-0.0731131969082542,0.0441611672694533
plot_759,-0.0535852260774117,0.0900335396343986
plot_760,0.0028024179777163,0.0213626994977049
plot_761,-0.0604808330391084,-0.0619814488574052
plot_762,-0.0702445825989654,-0.0942544803617739
plot_763,-0.0376428596449914,0.059745968117814
