,species,model,aic,aic_corrected
1,CEME,Model 1,400.801250535811,400.913400068521
2,CEME,Model 2,346.41771290741,346.644128001749
3,CEME,Model 3,229.525244429292,247.964268819536
4,CEME,Model 4,227.725737628513,244.641400279115
5,CEME,Model 5,252.919634461766,334.586301128433
