,species,model,aic,aic_corrected
1,PLER,Model 1,1045.3152718996,1045.35812904246
2,PLER,Model 2,872.889186064607,872.975207569983
3,PLER,Model 3,579.570665855113,585.500077619819
4,PLER,Model 4,579.507415205497,584.991790205497
5,PLER,Model 5,503.180350113714,524.210393032169
