,species,model,aic,aic_corrected
1,AMME,Model 1,465.350466919009,465.436181204723
2,AMME,Model 2,437.828317284523,438.000979155026
3,AMME,Model 3,379.276173682503,392.42399976946
4,AMME,Model 4,381.157012808359,393.260461084221
5,AMME,Model 5,398.782280703076,451.470452746086
