,species,model,aic,aic_corrected
1,SACO,Model 1,474.419018545353,474.502934629269
2,SACO,Model 2,396.592790874348,396.761804958855
3,SACO,Model 3,343.909502057551,356.723061379585
4,SACO,Model 4,342.236198007783,354.034517335514
5,SACO,Model 5,316.82044274132,367.862109407986
