,species,model,aic,aic_corrected
1,CLPU,Model 1,265.18315043589,265.317981896564
2,CLPU,Model 2,232.899013397795,233.171740670522
3,CLPU,Model 3,233.988038337328,257.613038337328
4,CLPU,Model 4,233.785453449848,255.385453449848
5,CLPU,Model 5,235.92983869045,352.596505357116
