,species,model,aic,aic_corrected
1,LOWR,Model 1,600.238555698099,600.309561615259
2,LOWR,Model 2,493.435615913575,493.578473056433
3,LOWR,Model 3,382.794712431804,393.294712431804
4,LOWR,Model 4,380.657244900699,390.340003521388
5,LOWR,Model 5,367.044345909433,407.208280335663
