,species,model,aic,aic_corrected
1,CLBO,Model 1,226.555504326556,226.743004326556
2,CLBO,Model 2,187.223228152886,187.604180533839
3,CLBO,Model 3,200.323485286083,239.092716055314
4,CLBO,Model 4,198.451465355455,233.551465355455
5,CLBO,Model 5,164.497285845039,452.732579962686
