,species,model,aic,aic_corrected
1,MEPO,Model 1,273.149852123651,273.321280695079
2,MEPO,Model 2,254.157306780369,254.505132867326
3,MEPO,Model 3,239.869814481625,273.469814481625
4,MEPO,Model 4,237.874121213951,268.395860344386
5,MEPO,Model 5,222.426691992234,435.470170253104
