,species,model,aic,aic_corrected
1,LACA,Model 1,603.860777031662,603.927075374204
2,LACA,Model 2,487.048697083336,487.18203041667
3,LACA,Model 3,406.670050437597,416.362358129905
4,LACA,Model 4,404.669819418183,413.612494577419
5,LACA,Model 5,351.861332900843,388.428497079947
