,species,model,aic,aic_corrected
1,HOMU,Model 1,822.974663327029,823.030738093384
2,HOMU,Model 2,708.763345942881,708.876021999219
3,HOMU,Model 3,539.490906918021,547.490906918021
4,HOMU,Model 4,536.703458556754,544.092932240965
5,HOMU,Model 5,499.80547217475,529.146789540019
