,species,model,aic,aic_corrected
1,CHGL,Model 1,617.371341774916,617.436559166221
2,CHGL,Model 2,562.458476987955,562.589624528939
3,CHGL,Model 3,454.794263460611,464.303697422876
4,CHGL,Model 4,452.593063435767,461.368063435767
5,CHGL,Model 5,413.766408092768,449.532831450432
