,species,model,aic,aic_corrected
1,BRMA,Model 1,555.90793061329,555.968536673896
2,BRMA,Model 2,505.332355830341,505.454183241508
3,BRMA,Model 3,364.801753940742,373.541638333805
4,BRMA,Model 4,362.730065946548,370.799031463789
5,BRMA,Model 5,346.734060235456,379.184391361284
