,species,model,aic,aic_corrected
1,VUMA,Model 1,637.206404615307,637.254987611259
2,VUMA,Model 2,559.769617614985,559.867178590595
3,VUMA,Model 3,447.117768756942,453.928579567753
4,VUMA,Model 4,445.255409504236,451.551373629796
5,VUMA,Model 5,408.139085567364,432.639085567364
